Cluster ID,X,Y,Z,Peak Stat,Cluster Size (mm3)
1,-40.5,28.5,46.5,1.4811847303699879,1188
1a,-49.5,28.5,46.5,1.396732189047639,
2,1.5,-40.5,-70.5,1.404187076086519,351
3,-43.5,-40.5,-52.5,1.390960201070932,405
4,-34.5,22.5,-43.5,1.376984035722041,297
5,-46.5,16.5,-37.5,1.3737426992231618,513
6,-49.5,22.5,-34.5,1.1011957070165908,297
7,-37.5,-82.5,49.5,1.0416344728056874,675
8,-34.5,-85.5,46.5,1.015751636094722,675
9,-67.5,-37.5,-31.5,0.9914617135388006,540
10,-19.5,64.5,-25.5,0.9901755739989347,378
11,-22.5,67.5,-16.5,0.9895146774637544,405
